,time_class,time_insert
50,301,3289
100,350,2196
150,377,2306
200,396,2367
250,480,2636
300,511,2421
350,501,2252
400,542,2299
450,556,2503
500,610,2508
550,657,2342
600,671,2315
650,729,2669
700,658,2352
750,650,2218
800,717,2210
850,751,2217
900,785,2591
950,1070,2565
1000,916,2320
1050,919,2375
1100,921,2192
1150,940,2211
1200,959,2250
1250,1156,2646
1300,1206,2238
1350,1125,2281
1400,1140,2358
1450,1297,3737
1500,1467,2514
1550,1360,2815
1600,1393,2714
1650,1427,2396
1700,1523,2997
1750,1514,2397
1800,1371,2365
1850,1531,2505
1900,1399,2215
1950,1739,2867
2000,1718,2518
2050,1557,2226
2100,1557,2403
2150,1670,2195
2200,1960,2301
2250,1630,2573
2300,1805,2547
2350,1835,2761
2400,2039,2457
2450,2182,2624
2500,2066,2226
2550,1882,2323
2600,1901,2224
2650,1956,2687
2700,2379,2481
2750,2133,2388
2800,2134,2310
2850,2113,2335
2900,2073,2528
2950,2567,2459
3000,2563,2539
3050,2680,2399
3100,2778,2592
3150,2436,2308
3200,2332,2322
3250,2303,2275
3300,2337,2299
3350,2585,2334
3400,2386,2258
3450,2430,2269
3500,2474,2234
3550,2460,2268
3600,2546,2232
3650,2534,2223
3700,2564,2219
3750,2671,2213
3800,2636,2389
3850,2705,2215
3900,2719,2240
3950,2742,2262
4000,2793,2409
4050,2866,2606
4100,3417,2324
4150,2879,2337
4200,2908,2275
4250,2932,2274
4300,2971,2276
4350,2993,2277
4400,3170,2306
4450,3069,2290
4500,3100,2280
4550,3117,2264
4600,3148,2280
4650,3170,2457
4700,3198,2201
4750,3498,2316
4800,3491,2240
4850,3363,2260
4900,3391,2274
4950,3502,2191
5000,3460,2258
5050,3518,2241
5100,3500,2251
5150,3536,2233
5200,3573,2260
5250,3607,2236
5300,3644,2231
5350,3679,2249
5400,3747,2325
5450,3876,2284
5500,4011,2318
5550,3870,2351
5600,3930,2345
5650,3952,2362
5700,3947,2297
5750,3950,2351
5800,4110,2370
5850,4135,2448
5900,4106,2476
5950,4198,2229
6000,4089,2227
6050,4136,2217
6100,4159,2259
6150,4196,2244
6200,4222,2267
6250,4269,2261
6300,4542,2271
6350,4460,2305
6400,4469,2271
6450,4497,2230
6500,4447,2229
6550,4523,2278
6600,4601,2247
6650,4545,2274
6700,4546,2339
6750,4747,2345
6800,5023,3055
6850,5193,3570
6900,7404,2594
6950,5435,2578
7000,7150,3194
7050,4927,2408
7100,5848,2789
7150,5691,2710
7200,5716,2589
7250,5656,2471
7300,6314,2776
7350,5585,2521
7400,5710,2632
7450,5718,2466
7500,5400,2381
7550,5543,2464
7600,5661,2472
7650,5924,2536
7700,5709,2342
7750,5802,2325
7800,5947,2365
7850,5968,2516
7900,6536,2325
7950,5678,2564
8000,6007,2338
8050,5805,2401
8100,5709,2476
8150,5815,2544
8200,5933,2604
8250,5851,2362
8300,5746,2466
8350,6177,2416
8400,6135,2630
8450,8344,3016
8500,6900,2703
8550,6938,2546
8600,6443,2578
8650,6671,2559
8700,6128,2312
8750,6075,2340
8800,6048,2300
8850,6632,2401
8900,6227,2334
8950,6599,2474
9000,6989,2261
9050,6271,2243
9100,6159,2297
9150,7129,2484
9200,6452,2362
9250,7564,2506
9300,7027,2350
9350,7008,2322
9400,6519,2418
9450,6949,2337
9500,6504,2341
9550,6548,2340
9600,6522,2357
9650,6570,2317
9700,6541,2340
9750,7007,2354
9800,6793,2417
9850,6785,2409
9900,7155,2671
9950,7006,2464
10000,6777,2262
10050,7065,2254
10100,7088,2674
10150,,
10200,,
10250,,
10300,,
10350,,
10400,,
10450,,
10500,,
10550,,
10600,,
10650,,
10700,,
10750,,
10800,,
10850,,
10900,,
10950,,
11000,,
11050,,
11100,,
11150,,
11200,,
11250,,
11300,,
11350,,
11400,,
11450,,
11500,,
11550,,
11600,,
11650,,
11700,,
11750,,
11800,,
11850,,
11900,,
11950,,
12000,,
12050,,
12100,,
12150,,
12200,,
12250,,
12300,,
12350,,
12400,,
12450,,
12500,,
12550,,
12600,,
12650,,
12700,,
12750,,
12800,,
12850,,
12900,,
12950,,
13000,,
13050,,
13100,,
13150,,
13200,,
13250,,
13300,,
13350,,
13400,,
13450,,
13500,,
13550,,
13600,,
13650,,
13700,,
13750,,
13800,,
13850,,
13900,,
13950,,
14000,,
14050,,
14100,,
14150,,
14200,,
14250,,
14300,,
14350,,
14400,,
14450,,
14500,,
14550,,
14600,,
14650,,
14700,,
14750,,
14800,,
14850,,
14900,,
14950,,
